Number,Site,Assigned,Priority,Description,Pictures,Date Posted,Updates,Completed,Updated Date,Updated Pics,Category
44,969,,,Phil needs to put continued pressure on Veola Water - resolution for water main break.,"<a href=""https://github.com/saferdevelopment/969/blob/main/101922/IMG_4234.JPG?raw=true"" target=""_blank"">Image1</a>  <a href=""https://github.com/saferdevelopment/969/blob/main/101922/IMG_4235.JPG?raw=true"" target=""_blank"">Image2</a>  <a href=""https://github.com/saferdevelopment/969/blob/main/101922/IMG_4243.JPG?raw=true"" target=""_blank"">Image3</a> ",9/2/2022,10/19/22 site visit showed larger volume of water pouring out of the main and under the barrier wall. Larger volume of ponding in adjacent loading dock. ,,,,Administrative
45,969,,,Seal north lot - call Swan Seal Coating,"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3748.JPG?raw=true"" target=""_blank"">Image1</a> <a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3749.JPG?raw=true"" target=""_blank"">Image2</a>",9/2/2022,,,,,Budgetary
46,969,,,Provide Albert with map of 42 truck parking spots on west lot (leased parking),,9/2/2022,,X,,,Administrative
47,969,,,Boyer to inspect pump outside Panamerican loading dock,"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3750.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,,,,Repairs
48,969,,,Trim/prune trees near loading dock,"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3731.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,,,,Maintenance
10,450,,,Montalto to start loading dock construction at Unit B. ,"<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3697.jpg?raw=true"" target=""_blank"">Image1</a> <a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3700.jpg?raw=true"" target=""_blank"">Image2</a> <a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3726.jpg?raw=true"" target=""_blank"">Image3</a>  <a href=""https://github.com/saferdevelopment/450/blob/main/101822/IMG_4221.JPG?raw=true"" target=""_blank"">Image4</a>",9/1/2022,Stop work order issued on 9/29 after work was partially completed. ,,9/29/2022,"<a href=""https://github.com/saferdevelopment/450/blob/main/101822/IMG_4222.JPG?raw=true"" target=""_blank"">Image1</a>  ",Budgetary
1,450,Tim,,Removal of 6 ash trees in front of building.,"<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3723.jpg?raw=true"" target=""_blank"">Image1</a>",9/1/2022,"Quotes provided from Greenwood ($7300) <a href=""https://github.com/saferdevelopment/450/raw/main/091922/proposal0-14.pdf"" target=""_blank"">Doc1</a> and Atlas ($3600) <a href=""https://github.com/saferdevelopment/450/raw/main/091922/Atlas_removal_quote_091622.pdf"" target=""_blank"">Doc2</a>. Contacted Al D Landscaping for additional quote.",,,,Maintenance
2,450,Tim,,Pothole filling required on Madison Circle Drive,"<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3717.jpg?raw=true"" target=""_blank"">Image1</a>",9/1/2022,Responsibility of East Rutherford DPW,,,,Maintenance
3,450,Sasha,,Sasha to trim hedges and evergreens encroaching onto sidewalk in front of Unit A and A1,"<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3722.jpg?raw=true"" target=""_blank"">Image1</a>",9/1/2022,,,,,Maintenance
4,450,,,Remove section of guardrail outside Unit C,"<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3719.jpg?raw=true"" target=""_blank"">Image1</a>",9/1/2022,,,,,Budgetary
5,450,,,Holes marked outside E1 - for future repair,"<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3713.jpg?raw=true"" target=""_blank"">Image1</a> <a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3712.jpg?raw=true"" target=""_blank"">Image2</a>",9/1/2022,,,,,Budgetary
6,450,,,Repairs required along concete wall and pavement dropoff outside E1. Extend guard railing appx 32 feet,"<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3714.jpg?raw=true"" target=""_blank"">Image1</a>",9/1/2022,,,,,Budgetary
7,450,Sasha,,Paint and caulk around doors of Unit D,"<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3711.jpg?raw=true"" target=""_blank"">Image1</a>",9/1/2022,,,,,Repairs
8,450,,,Repair or patch broken pipe / roof drain outside Unit D,"<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3709.jpg?raw=true"" target=""_blank"">Image1</a>",9/1/2022,,,,,Repairs
9,450,,,"Repave entire ""North Lot"" (multiple holes, damage throughout). Check drawings to calculate square footage","<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3708.jpg?raw=true"" target=""_blank"">Image1</a> <a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3694.jpg?raw=true"" target=""_blank"">Image2</a> <a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3695.jpg?raw=true"" target=""_blank"">Image3</a>",9/1/2022,,,,,Budgetary
11,450,,,Roof drain cover outside unit D2 should be removed/eliminated (for next year),"<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3703.jpg?raw=true"" target=""_blank"">Image1</a>",9/1/2022,,,,,Budgetary
12,450,,,Spray for weeds on pavement outside D2,"<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3702.jpg?raw=true"" target=""_blank"">Image1</a>",9/1/2022,,,,,Maintenance
35,969,,,Stolen cameras - Need to construct 25ft post (overall height) + two cameras on top. John H to perform work. Pole to be located on north side of shed - between shed and property line of coffin blocks. ,"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3733.JPG?raw=true"" target=""_blank"">Image1</a>",7/21/2022,"Received quote from Merchants for pole and security replacement  <a href=""https://github.com/saferdevelopment/969/blob/main/090222/merchants_pole_quote.pdf"" target=""_blank"">Document1</a>",,8/23/2022,,Repairs
